n,lambda,phi,eps,gamma,theta_rough,offset,mpn,traj_mpn,detected_mpn,1,11,101,111,1101,1011,1001,1111,11001,10011,10001,11011,11101,10111,11111,110001,100011,100001,110011,110101,101011,110111,111011,111001,100111,111101,101111,111111
1000000,0.8,0.7853981633974483,0.05,2.1,0.19922922922922923,0.004265795188015926,7.314211902416753e-05,8.820940913729193e-05,6.214753825581932e-05,14,1,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000,0.8,0.7853981633974483,0.05,2.1,0.19946946946946947,0.004265795188015926,8.35602214504637e-05,0.00011026176142161492,0.00011026176142161492,14,2,1,2,0,2,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1000000,0.8,0.7853981633974483,0.05,2.1,0.19942942942942943,0.004265795188015926,8.177557408573804e-05,3.809042667292152e-05,3.809042667292152e-05,8,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000,0.8,0.7853981633974483,0.05,2.1,0.20007007007007008,0.004265795188015926,0.00011264965956112651,0.0001443426694973868,0.0001122665207201897,21,4,0,5,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000,0.8,0.7853981633974483,0.05,2.1,0.19994994994994994,0.004265795188015926,0.00010648367758670245,0.00014835218809453643,0.0001483521880945364,17,9,0,4,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1
1000000,0.8,0.7853981633974483,0.05,2.1,0.19972972972972972,0.004265795188015926,9.563150384643183e-05,0.00010224272422731565,0.00010224272422731567,17,5,0,2,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000,0.8,0.7853981633974483,0.05,2.1,0.19926926926926927,0.004265795188015926,7.483017839187491e-05,6.214753825581931e-05,6.214753825581932e-05,8,2,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000,0.8,0.7853981633974483,0.05,2.1,0.19878878878878878,0.004265795188015926,5.5847677779029606e-05,6.816181615154377e-05,6.816181615154377e-05,7,2,0,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1000000,0.8,0.7853981633974483,0.05,2.1,0.20053053053053052,0.004265795188015926,0.00013789953072660007,0.000120285557914489,0.00012028555791448897,19,3,0,6,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000,0.8,0.7853981633974483,0.05,2.1,0.20097097097097097,0.004265795188015926,0.00016444833442981436,0.00016238550318456015,0.00016238550318456015,31,11,2,3,1,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1000000,0.8,0.7853981633974483,0.05,2.1,0.1994094094094094,0.004265795188015926,8.089049594426002e-05,7.417609404726821e-05,7.417609404726823e-05,11,1,1,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1000000,0.8,0.7853981633974483,0.05,2.1,0.20013013013013012,0.004265795188015926,0.00011579795004117637,0.00011828079861591418,0.00011828079861591418,16,7,0,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1000000,0.8,0.7853981633974483,0.05,2.1,0.1999099099099099,0.004265795188015926,0.00010446704002253031,8.219513124156748e-05,8.21951312415675e-05,13,4,0,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000,0.8,0.7853981633974483,0.05,2.1,0.2006106106106106,0.004265795188015926,0.00014255221025188765,0.00017040454037885942,0.00015236170669168607,31,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1000000,0.8,0.7853981633974483,0.05,2.1,0.20065065065065066,0.004265795188015926,0.0001449076061414247,0.00012830459510878827,0.00012830459510878827,16,6,0,3,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1000000,0.8,0.7853981633974483,0.05,2.1,0.2005905905905906,0.004265795188015926,0.00014138177664517156,9.823320563016602e-05,9.823320563016599e-05,22,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000,0.8,0.7853981633974483,0.05,2.1,0.20067067067067068,0.004265795188015926,0.0001460925688312512,0.00011427128001876454,0.00011427128001876454,27,7,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000,0.8,0.7853981633974483,0.05,2.1,0.20037037037037037,0.004265795188015926,0.00012882657477847174,0.00013030935440736308,0.00013030935440736305,23,6,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
1000000,0.8,0.7853981633974483,0.05,2.1,0.19964964964964965,0.004265795188015926,9.183028105261352e-05,8.419989054014229e-05,8.41998905401423e-05,15,2,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1000000,0.8,0.7853981633974483,0.05,2.1,0.20113113113113112,0.004265795188015926,0.00017468390625466506,0.00015436646599026088,0.00015436646599026086,27,9,0,5,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1000000,0.8,0.7853981633974483,0.05,2.1,0.19946946946946947,0.004265795188015926,8.35602214504637e-05,5.813801965866968e-05,4.610946386722079e-05,12,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000,0.8,0.7853981633974483,0.05,2.1,0.19958958958958958,0.004265795188015926,8.903010807641393e-05,0.00011427128001876454,0.00011427128001876454,17,4,0,5,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1000000,0.8,0.7853981633974483,0.05,2.1,0.19976976976976976,0.004265795188015926,9.756111579577642e-05,0.00012830459510878827,0.00011226652072018972,23,9,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000,0.8,0.7853981633974483,0.05,2.1,0.20153153153153153,0.004265795188015926,0.0002016305015923839,0.00016238550318456015,0.0001623855031845601,41,7,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1000000,0.8,0.7853981633974483,0.05,2.1,0.20027027027027028,0.004265795188015926,0.00012331329557698412,0.00013632363230308754,0.00013632363230308748,13,9,0,5,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
1000000,0.8,0.7853981633974483,0.05,2.1,0.2003903903903904,0.004265795188015926,0.00012994375085423408,0.00011226652072018973,0.00011226652072018972,17,6,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000,0.8,0.7853981633974483,0.05,2.1,0.19906906906906907,0.004265795188015926,6.658298611313229e-05,7.417609404726821e-05,7.417609404726823e-05,7,3,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000,0.8,0.7853981633974483,0.05,2.1,0.19942942942942943,0.004265795188015926,8.177557408573804e-05,7.818561264441785e-05,7.818561264441785e-05,17,3,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000,0.8,0.7853981633974483,0.05,2.1,0.2008108108108108,0.004265795188015926,0.0001545229351699543,0.00019045213336460758,0.00019045213336460755,26,6,1,9,0,1,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1000000,0.8,0.7853981633974483,0.05,2.1,0.2002102102102102,0.004265795188015926,0.00012006340150308911,9.62284463315912e-05,8.219513124156748e-05,15,5,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000,0.8,0.7853981633974483,0.05,2.1,0.20043043043043043,0.004265795188015926,0.00013219262490338492,0.0001784235775731587,0.0001483521880945364,17,5,0,6,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
1000000,0.8,0.7853981633974483,0.05,2.1,0.20003003003003003,0.004265795188015926,0.00011057498565297832,0.0001563712252888357,0.00015637122528883567,23,6,1,5,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1000000,0.8,0.7853981633974483,0.05,2.1,0.19944944944944945,0.004265795188015926,8.266548251387951e-05,7.417609404726821e-05,7.417609404726823e-05,10,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1000000,0.8,0.7853981633974483,0.05,2.1,0.20001001001001,0.004265795188015926,0.00010954490398648234,0.00013030935440736308,0.00012028555791448899,16,8,0,2,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000,0.8,0.7853981633974483,0.05,2.1,0.20017017017017016,0.004265795188015926,0.00011792099923790803,0.00010224272422731565,0.00010224272422731565,22,7,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000,0.8,0.7853981633974483,0.05,2.1,0.1986886886886887,0.004265795188015926,5.2242767457784286e-05,3.4080908075771884e-05,3.4080908075771884e-05,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000,0.8,0.7853981633974483,0.05,2.1,0.20105105105105103,0.004265795188015926,0.00016952734242240932,0.0001443426694973868,0.00014434266949738675,26,0,0,9,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1000000,0.8,0.7853981633974483,0.05,2.1,0.19962962962962963,0.004265795188015926,9.089205764965366e-05,8.019037194299267e-05,8.019037194299266e-05,15,2,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000,0.8,0.7853981633974483,0.05,2.1,0.20045045045045046,0.004265795188015926,0.00013332432328969966,0.00011627603931733937,0.00011627603931733937,23,11,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000,0.8,0.7853981633974483,0.05,2.1,0.20083083083083084,0.004265795188015926,0.00015574665100178168,0.0001222903172130638,0.00011226652072018972,23,5,0,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1000000,0.8,0.7853981633974483,0.05,2.1,0.2001901901901902,0.004265795188015926,0.00011898978113201073,0.00015236170669168607,0.0001463474287959616,26,4,2,3,0,1,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1000000,0.8,0.7853981633974483,0.05,2.1,0.19918918918918918,0.004265795188015926,7.147337190790886e-05,3.60856673743467e-05,3.60856673743467e-05,5,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000,0.8,0.7853981633974483,0.05,2.1,0.1994894894894895,0.004265795188015926,8.445979111603439e-05,8.820940913729193e-05,8.820940913729193e-05,19,3,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1000000,0.8,0.7853981633974483,0.05,2.1,0.2002102102102102,0.004265795188015926,0.00012006340150308911,0.00013431887300451273,0.0001222903172130638,19,8,0,2,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1000000,0.8,0.7853981633974483,0.05,2.1,0.20005005005005005,0.004265795188015926,0.00011160990410713853,0.0001222903172130638,0.00011627603931733935,17,9,0,4,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000,0.8,0.7853981633974483,0.05,2.1,0.1998898898898899,0.004265795188015926,0.00010346597460988735,0.00010224272422731565,9.422368703301638e-05,21,6,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000,0.8,0.7853981633974483,0.05,2.1,0.20007007007007008,0.004265795188015926,0.00011264965956112651,0.0001222903172130638,0.00012229031721306378,22,7,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1000000,0.8,0.7853981633974483,0.05,2.1,0.19978978978978978,0.004265795188015926,9.8533172666186e-05,0.00012629983581021346,0.00011828079861591419,23,11,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000,0.8,0.7853981633974483,0.05,2.1,0.1986086086086086,0.004265795188015926,4.944563502739353e-05,6.415229755439413e-05,4.81142231657956e-05,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1000000,0.8,0.7853981633974483,0.05,2.1,0.19930930930930932,0.004265795188015926,7.653755180021837e-05,7.818561264441785e-05,6.214753825581932e-05,15,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1000000,0.8,0.7853981633974483,0.05,2.1,0.19856856856856855,0.004265795188015926,4.807599565024033e-05,5.412850106152005e-05,5.4128501061520055e-05,11,3,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000,0.8,0.7853981633974483,0.05,2.1,0.20043043043043043,0.004265795188015926,0.00013219262490338492,0.0001443426694973868,0.0001443426694973868,23,13,1,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000,0.8,0.7853981633974483,0.05,2.1,0.2005105105105105,0.004265795188015926,0.00013674846637177278,0.00011828079861591418,0.00011828079861591416,21,6,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000,0.8,0.7853981633974483,0.05,2.1,0.19976976976976976,0.004265795188015926,9.756111579577642e-05,0.0001222903172130638,8.219513124156747e-05,19,4,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000,0.8,0.7853981633974483,0.05,2.1,0.2011911911911912,0.004265795188015926,0.00017860223273480713,0.00018644261476745796,0.000186442614767458,36,9,1,10,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000,0.8,0.7853981633974483,0.05,2.1,0.19986986986986988,0.004265795188015926,0.00010246974449208663,0.00010424748352589046,0.00010424748352589046,14,7,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1000000,0.8,0.7853981633974483,0.05,2.1,0.1998098098098098,0.004265795188015926,9.951006375575808e-05,0.00011226652072018973,0.00011226652072018973,19,7,0,0,1,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1000000,0.8,0.7853981633974483,0.05,2.1,0.20047047047047048,0.004265795188015926,0.00013446086285958994,0.00013832839160166235,0.00013832839160166232,33,5,0,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000,0.8,0.7853981633974483,0.05,2.1,0.20015015015015014,0.004265795188015926,0.0001168570556113353,0.00012830459510878827,0.0001283045951087882,18,9,0,8,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000,0.8,0.7853981633974483,0.05,2.1,0.1992092092092092,0.004265795188015926,7.230533154648367e-05,9.422368703301638e-05,9.422368703301637e-05,11,3,1,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000,0.8,0.7853981633974483,0.05,2.1,0.2001901901901902,0.004265795188015926,0.00011898978113201073,9.823320563016602e-05,9.422368703301638e-05,27,5,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
