n,lmbd,phi,eps,theta_rough,offset,mpn,traj_mpn,detected_mpn,1,11,101,111,1101,1111,11001,11011,11101,11111,110001,110011,110101,110111,111001,111011,111101,111111
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,0.007782808838029437,0.007926526075638363,0.006698060779783003,181,49,0,26,6,7,0,0,2,0,1,0,0,1,0,3,0,4
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,0.007782808838029437,0.00722454590657814,0.006186200239843254,168,47,2,25,3,9,0,0,0,2,0,0,0,0,0,2,1,2
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,0.007782808838029437,0.0069613033431805554,0.005908333089590243,144,44,1,27,6,9,1,0,0,0,0,0,0,1,0,1,2,2
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,0.007782808838029437,0.007955775249349206,0.006771183714060109,153,45,2,29,3,19,1,0,1,2,0,0,0,0,0,2,1,2
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,0.007782808838029437,0.007838778554505835,0.0066103132586504765,160,47,1,36,8,9,0,0,0,2,0,0,0,0,0,0,0,3
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,0.007782808838029437,0.008467635789288953,0.0073854163619878135,171,57,4,32,4,19,0,0,0,0,0,0,0,0,0,1,1,3
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,0.007782808838029437,0.007794904793939571,0.00655181491122878,132,39,2,31,11,14,0,0,0,5,0,0,0,1,0,0,2,2
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,0.007782808838029437,0.0066103132586504436,0.005674339699903499,137,41,2,27,4,9,0,0,1,2,0,0,0,0,1,0,0,3
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,0.007782808838029437,0.007326918014566089,0.006039954371289035,142,45,2,26,3,12,0,0,0,1,0,0,0,1,1,0,2,3
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,0.007782808838029437,0.00778028020708415,0.006698060779783,143,45,2,32,3,18,0,0,0,0,0,1,0,0,0,1,1,5
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,0.007782808838029437,0.0077071572728070435,0.006317821521542044,148,41,5,29,8,11,0,0,1,2,0,0,0,0,0,0,1,3
