n,lmbd,phi,eps,theta_rough,offset,1,11,101,111,1101,1111,11001,11011,11101,11111,110001,110011,110101,110111,111001,111011,111101,111111
100000,0.8,0.7853981633974483,0.1,0.2028643216080402,0.0316227766016838,128,49,2,24,4,10,0,0,1,0,0,1,0,2,0,0,1,0
100000,0.8,0.7853981633974483,0.1,0.19693467336683418,0.0316227766016838,106,30,1,9,2,12,0,0,0,2,0,0,0,2,1,0,1,0
100000,0.8,0.7853981633974483,0.1,0.19442211055276382,0.0316227766016838,79,17,1,16,2,7,1,0,0,1,0,0,0,0,0,0,1,1
100000,0.8,0.7853981633974483,0.1,0.20065326633165828,0.0316227766016838,119,48,2,18,3,13,0,0,0,0,0,0,0,0,1,1,0,2
100000,0.8,0.7853981633974483,0.1,0.2000502512562814,0.0316227766016838,153,37,1,14,2,13,0,0,0,0,0,0,0,0,1,1,0,3
100000,0.8,0.7853981633974483,0.1,0.19683417085427135,0.0316227766016838,97,27,2,24,3,10,0,0,0,3,0,0,0,0,0,0,1,4
100000,0.8,0.7853981633974483,0.1,0.20105527638190954,0.0316227766016838,134,39,0,23,1,9,0,0,1,0,0,0,0,1,1,0,0,2
100000,0.8,0.7853981633974483,0.1,0.20376884422110553,0.0316227766016838,146,41,0,30,5,13,0,0,0,5,0,0,0,2,1,0,0,2
100000,0.8,0.7853981633974483,0.1,0.1993467336683417,0.0316227766016838,124,37,3,18,2,12,0,0,0,0,0,0,0,0,1,0,0,7
100000,0.8,0.7853981633974483,0.1,0.19743718592964823,0.0316227766016838,100,22,0,25,3,8,0,0,1,2,0,0,0,1,0,0,1,2
100000,0.8,0.7853981633974483,0.1,0.20376884422110553,0.0316227766016838,144,38,3,24,3,26,0,0,2,1,0,0,0,0,1,1,2,2
100000,0.8,0.7853981633974483,0.1,0.19663316582914572,0.0316227766016838,109,26,0,14,1,10,0,0,0,1,0,0,0,1,0,2,0,1
100000,0.8,0.7853981633974483,0.1,0.20396984924623116,0.0316227766016838,180,39,3,38,1,18,0,0,0,1,0,0,0,2,0,3,1,2
100000,0.8,0.7853981633974483,0.1,0.198643216080402,0.0316227766016838,111,26,1,18,3,7,0,0,0,0,0,0,0,0,1,0,0,3
100000,0.8,0.7853981633974483,0.1,0.19954773869346734,0.0316227766016838,137,40,1,28,7,10,1,0,1,0,0,0,0,1,1,1,2,2
100000,0.8,0.7853981633974483,0.1,0.20155778894472362,0.0316227766016838,130,25,3,21,4,13,0,0,0,2,0,0,0,1,1,1,0,3
100000,0.8,0.7853981633974483,0.1,0.19964824120603014,0.0316227766016838,110,32,2,23,2,13,1,0,0,0,0,0,0,1,0,0,0,2
100000,0.8,0.7853981633974483,0.1,0.19914572864321609,0.0316227766016838,116,34,3,19,4,16,1,0,0,2,2,0,0,0,1,1,0,4
